"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2022","55,366.00","55,414.58","55,896.98","54,406.55","0.07K","-0.09%"
"Feb 21, 2022","55,414.58","57,357.35","58,917.19","55,057.27","0.06K","-3.39%"
"Feb 20, 2022","57,357.35","59,859.98","60,096.32","56,810.40","0.06K","-4.18%"
"Feb 19, 2022","59,859.98","59,851.28","60,566.14","59,131.74","0.02K","0.01%"
"Feb 18, 2022","59,851.28","60,567.88","61,275.83","59,283.34","0.06K","-1.18%"
"Feb 17, 2022","60,567.88","65,713.14","66,179.57","60,070.36","0.07K","-7.83%"
"Feb 16, 2022","65,713.14","67,259.13","67,259.13","65,209.24","0.07K","-2.30%"
"Feb 15, 2022","67,259.13","64,247.89","67,416.26","64,057.80","0.10K","4.69%"
"Feb 14, 2022","64,247.89","63,456.02","64,799.81","62,670.51","0.04K","1.25%"
"Feb 13, 2022","63,456.02","63,636.84","64,533.15","63,079.17","0.03K","-0.28%"
"Feb 12, 2022","63,636.84","63,508.05","64,890.76","63,041.63","0.03K","0.20%"
"Feb 11, 2022","63,508.05","65,159.37","65,943.45","63,302.50","0.05K","-2.53%"
"Feb 10, 2022","65,159.37","66,574.92","68,351.22","64,957.13","0.07K","-2.13%"
"Feb 09, 2022","66,574.92","66,454.01","67,422.92","64,988.36","0.05K","0.18%"
"Feb 08, 2022","66,454.01","66,270.61","68,745.30","64,443.41","0.09K","0.28%"
"Feb 07, 2022","66,270.61","64,233.18","67,633.92","62,987.30","0.11K","3.17%"
"Feb 06, 2022","64,233.18","62,826.49","64,702.16","62,197.63","0.05K","2.24%"
"Feb 05, 2022","62,826.49","62,778.05","69,078.70","62,137.11","0.08K","0.08%"
"Feb 04, 2022","62,778.05","56,147.94","62,970.70","55,666.64","0.07K","11.81%"
"Feb 03, 2022","56,147.94","55,838.71","56,267.29","54,654.07","0.06K","0.55%"
"Feb 02, 2022","55,838.71","58,309.52","58,688.64","55,371.39","0.05K","-4.24%"
"Feb 01, 2022","58,309.52","58,496.94","59,323.93","57,667.83","0.06K","-0.32%"
"Jan 31, 2022","58,496.94","57,941.12","58,994.20","56,018.22","0.08K","0.96%"
"Jan 30, 2022","57,941.12","58,503.22","58,888.99","57,349.71","0.04K","-0.96%"
"Jan 29, 2022","58,503.22","57,907.97","59,276.63","57,393.15","0.06K","1.03%"
"Jan 28, 2022","57,907.97","56,655.36","58,325.41","55,523.76","0.07K","2.21%"
"Jan 27, 2022","56,655.36","55,697.08","56,655.36","53,806.89","0.09K","1.72%"
"Jan 26, 2022","55,697.08","55,346.82","58,267.25","54,649.99","0.11K","0.63%"
"Jan 25, 2022","55,346.82","54,947.51","56,237.85","53,605.08","0.10K","0.73%"
"Jan 24, 2022","54,947.51","53,946.11","55,999.10","49,513.07","0.16K","1.86%"
"Jan 23, 2022","53,946.11","52,272.48","57,119.65","51,826.83","0.11K","3.20%"
"Jan 22, 2022","52,272.48","54,394.23","54,763.34","50,574.91","0.14K","-3.90%"
"Jan 21, 2022","54,394.23","60,350.10","61,034.44","52,917.98","0.23K","-9.87%"
"Jan 20, 2022","60,350.10","61,618.74","63,799.99","60,038.38","0.11K","-2.06%"
"Jan 19, 2022","61,618.74","62,745.99","63,200.55","60,750.00","0.05K","-1.80%"
"Jan 18, 2022","62,745.99","62,198.65","63,191.33","61,053.63","0.08K","0.88%"
"Jan 17, 2022","62,198.65","63,456.98","63,879.47","61,386.88","0.04K","-1.98%"
"Jan 16, 2022","63,456.98","63,474.83","64,302.40","62,874.36","0.03K","-0.03%"
"Jan 15, 2022","63,474.83","63,299.39","64,547.39","62,866.64","0.04K","0.28%"
"Jan 14, 2022","63,299.39","62,057.85","63,964.84","61,286.95","0.04K","2.00%"
"Jan 13, 2022","62,057.85","64,411.41","64,719.91","61,841.41","0.06K","-3.65%"
"Jan 12, 2022","64,411.41","63,020.49","65,000.00","62,460.36","0.08K","2.21%"
"Jan 11, 2022","63,020.49","61,970.51","63,802.99","61,290.18","0.06K","1.69%"
"Jan 10, 2022","61,970.51","61,903.27","62,592.87","58,995.97","0.08K","0.11%"
"Jan 09, 2022","61,903.27","61,933.64","63,700.29","61,023.86","0.04K","-0.05%"
"Jan 08, 2022","61,933.64","61,326.80","62,694.19","60,162.67","0.10K","0.99%"
"Jan 07, 2022","61,326.80","63,823.75","64,081.93","60,254.73","0.11K","-3.91%"
"Jan 06, 2022","63,823.75","64,016.98","64,742.60","62,849.44","0.09K","-0.30%"
"Jan 05, 2022","64,016.98","67,645.52","69,493.87","62,690.16","0.09K","-5.36%"
"Jan 04, 2022","67,645.52","68,451.07","70,151.07","67,272.72","0.06K","-1.18%"
"Jan 03, 2022","68,451.07","69,287.62","69,947.87","67,628.92","0.04K","-1.21%"
"Jan 02, 2022","69,287.62","70,110.93","70,424.34","68,399.69","0.03K","-1.17%"
"Jan 01, 2022","70,110.93","67,735.84","70,607.67","67,735.84","0.02K","3.51%"
"Dec 31, 2021","67,735.84","69,091.88","71,193.66","66,561.20","0.06K","-1.96%"
"Dec 30, 2021","69,091.88","68,244.67","70,495.00","67,661.24","0.08K","1.24%"
"Dec 29, 2021","68,245.97","70,072.20","71,142.74","67,799.23","0.08K","-2.61%"
"Dec 28, 2021","70,072.20","74,310.59","74,406.32","69,655.44","0.05K","-5.70%"
"Dec 27, 2021","74,310.59","74,489.27","76,577.95","74,157.81","0.04K","-0.24%"
"Dec 26, 2021","74,489.27","74,274.85","75,310.43","73,005.89","0.04K","0.29%"
"Dec 25, 2021","74,274.85","74,445.64","75,385.24","73,975.32","0.02K","-0.23%"
"Dec 24, 2021","74,445.64","74,524.53","75,977.97","74,054.26","0.04K","-0.11%"
"Dec 23, 2021","74,524.53","71,300.74","75,106.67","70,469.77","0.06K","4.52%"
"Dec 22, 2021","71,300.74","72,261.07","73,444.97","71,136.02","0.08K","-1.33%"
"Dec 21, 2021","72,261.07","69,827.97","72,927.79","69,518.08","0.06K","3.48%"
"Dec 20, 2021","69,827.97","68,980.05","70,752.03","67,700.96","0.06K","1.23%"
"Dec 19, 2021","68,980.05","69,556.45","71,464.46","68,836.21","0.03K","-0.83%"
"Dec 18, 2021","69,556.45","68,759.69","70,349.77","67,678.60","0.03K","1.16%"
"Dec 17, 2021","68,759.69","69,981.54","70,773.09","67,477.76","0.09K","-1.75%"
"Dec 16, 2021","69,981.54","72,066.11","72,663.56","69,978.38","0.06K","-2.89%"
"Dec 15, 2021","72,066.11","71,827.35","73,219.00","69,225.44","0.18K","0.33%"
"Dec 14, 2021","71,827.35","69,402.71","72,285.32","68,763.54","0.11K","3.49%"
"Dec 13, 2021","69,402.71","73,672.58","73,983.65","67,969.98","0.12K","-5.80%"
"Dec 12, 2021","73,672.58","72,835.73","74,872.32","71,834.08","0.04K","1.15%"
"Dec 11, 2021","72,835.73","69,687.97","73,198.27","69,006.82","0.06K","4.52%"
"Dec 10, 2021","69,687.97","70,081.74","73,848.10","69,268.70","0.06K","-0.56%"
"Dec 09, 2021","70,081.74","74,026.49","74,688.77","69,753.13","0.07K","-5.33%"
"Dec 08, 2021","74,026.49","74,651.23","75,218.05","71,933.34","0.06K","-0.84%"
"Dec 07, 2021","74,651.23","74,939.74","76,459.98","73,766.44","0.08K","-0.39%"
"Dec 06, 2021","74,944.95","73,122.60","75,653.95","69,837.49","0.15K","2.49%"
